date,Algodão,CONCENTRADO,Complemento alimenta,Farinha de Milho,Farinha de Soja,Feno,Silagem de milho,lote,leite,qtd_animais_alimentados
2021-07-02T06:24:00,,,,,,,,1,2826,
2021-07-02T06:24:00,,,,,,,,2,2826,
2021-07-02T06:24:00,58,,,120,136,34,978,3,2826,24
2021-07-04T07:18:00,,,,,,,,1,2793,
2021-07-04T07:18:00,,,,,,,,2,2793,
2021-07-04T07:18:00,54,,,114,130,32,936,3,2793,23
2021-07-05T07:36:00,,,,,,,,1,2939,
2021-07-05T07:36:00,,,,,,,,2,2939,
2021-07-05T07:36:00,54,,,114,130,32,936,3,2939,23
2021-07-06T07:25:00,,,,,,,,1,2864,
2021-07-06T07:25:00,,,,,,,,2,2864,
2021-07-06T07:25:00,54,,,114,130,32,936,3,2864,23
2021-07-03T07:36:00,,,,,,,,1,3043,
2021-07-03T07:36:00,,,,,,,,2,3043,
2021-07-03T07:36:00,54,,,114,130,32,936,3,3043,23
2021-07-07T07:32:00,,,,,,,,1,2879,
2021-07-07T07:32:00,,,,,,,,2,2879,
2021-07-07T07:32:00,52,,,110,126,30,904,3,2879,23
2021-07-08T07:15:00,,,,,,,,1,2700,
2021-07-08T07:15:00,,,,,,,,2,2700,
2021-07-08T07:15:00,52,,,110,126,30,904,3,2700,23
2021-07-10T06:41:00,,,,,,,,1,2763,
2021-07-10T06:41:00,,,,,,,,2,2763,
2021-07-10T06:41:00,52,,,110,126,30,904,3,2763,23
2021-07-09T07:28:00,,,,,,,,1,2695,
2021-07-09T07:28:00,,,,,,,,2,2695,
2021-07-09T07:28:00,52,,,110,126,30,904,3,2695,23
2021-07-11T07:15:00,,,,,,,,1,2883,
2021-07-11T07:15:00,,,,,,,,2,2883,
2021-07-11T07:15:00,52,,,110,126,30,904,3,2883,23
2021-07-12T07:30:00,,,,,,,,1,3019.6,
2021-07-12T07:30:00,,,,,,,,2,3019.6,
2021-07-12T07:30:00,52,,,110,126,30,904,3,3019.6,23
2021-07-13T07:17:00,,,,,,,,1,2809,
2021-07-13T07:17:00,,,,,,,,2,2809,
2021-07-13T07:17:00,52,,,110,126,30,904,3,2809,23
2021-07-14T07:25:00,,,,,,,,1,2864,
2021-07-14T07:25:00,,,,,,,,2,2864,
2021-07-14T07:25:00,52,,,110,126,30,904,3,2864,23
2021-07-15T07:40:00,,,,,,,,1,2892,
2021-07-15T07:40:00,,,,,,,,2,2892,
2021-07-15T07:40:00,52,,,110,126,30,904,3,2892,23
2021-07-16T06:34:00,,,,,,,,1,2831,
2021-07-16T06:34:00,,,,,,,,2,2831,
2021-07-16T06:34:00,52,,,110,126,30,904,3,2831,23
2021-07-18T06:41:00,,,,,,,,1,2845,
2021-07-18T06:41:00,,,,,,,,2,2845,
2021-07-18T06:41:00,52,,,110,126,30,904,3,2845,23
2021-07-17T07:17:00,,,,,,,,1,2969,
2021-07-17T07:17:00,,,,,,,,2,2969,
2021-07-17T07:17:00,52,,,110,126,30,904,3,2969,23
2021-07-19T07:41:00,,,,,,,,1,2851,
2021-07-19T07:41:00,,,,,,,,2,2851,
2021-07-19T07:41:00,52,,,110,126,30,904,3,2851,23
2021-07-20T07:22:00,,,,,,,,1,2715,
2021-07-20T07:22:00,,,,,,,,2,2715,
2021-07-20T07:22:00,52,,,110,126,30,904,3,2715,23
2021-07-21T08:00:00,,,,,,,,1,2840.1,
2021-07-21T08:00:00,,,,,,,,2,2840.1,
2021-07-21T08:00:00,56,,,116,132,32,944,3,2840.1,24
2021-07-22T07:32:00,,,,,,,,1,2939,
2021-07-22T07:32:00,,,,,,,,2,2939,
2021-07-22T07:32:00,56,,,116,132,32,944,3,2939,24
2021-07-23T07:06:00,,,,,,,,1,2788,
2021-07-23T07:06:00,,,,,,,,2,2788,
2021-07-23T07:06:00,56,,,116,132,32,944,3,2788,24
2021-07-24T06:09:00,,,,,,,,1,3015,
2021-07-24T06:09:00,,,,,,,,2,3015,
2021-07-24T06:09:00,56,,,116,132,32,944,3,3015,24
2021-07-25T07:38:00,,,,,,,,1,3065,
2021-07-25T07:38:00,,,,,,,,2,3065,
2021-07-25T07:38:00,56,,,116,132,32,944,3,3065,24
2021-07-26T07:29:00,,,,,,,,1,2948,
2021-07-26T07:29:00,,,,,,,,2,2948,
2021-07-26T07:29:00,56,,,116,132,32,944,3,2948,24
2021-07-27T07:28:00,,,,,,,,1,2880,
2021-07-27T07:28:00,,,,,,,,2,2880,
2021-07-27T07:28:00,56,,,116,132,32,944,3,2880,24
2021-07-28T07:40:00,,,,,,,,1,2864,
2021-07-28T07:40:00,,,,,,,,2,2864,
2021-07-28T07:40:00,,,,98,122,30,966,3,2864,22
2021-07-29T07:06:00,,,,,,,,1,2453,
2021-07-29T07:06:00,,,,,,,,2,2453,
2021-07-29T07:06:00,,,,110,138,34,1098,3,2453,25
2021-07-30T06:44:00,,,,,,,,1,2597.9,
2021-07-30T06:44:00,,,,,,,,2,2597.9,
2021-07-30T06:44:00,,,,110,138,34,1098,3,2597.9,25
2021-07-31T07:54:00,,,,,,,,1,2504,
2021-07-31T07:54:00,,,,,,,,2,2504,
2021-07-31T07:54:00,,,,110,138,34,1098,3,2504,25
2021-08-01T06:42:00,,,,,,,,1,2496,
2021-08-01T06:42:00,,,,,,,,2,2496,
2021-08-01T06:42:00,,,,110,138,34,1098,3,2496,25
2021-08-02T07:40:00,,,,,,,,1,2506,
2021-08-02T07:40:00,,,,,,,,2,2506,
2021-08-02T07:40:00,,,,110,138,34,1098,3,2506,25
2021-08-03T07:32:00,,,,,,,,1,2764,
2021-08-03T07:32:00,,,,,,,,2,2764,
2021-08-03T07:32:00,,,,110,138,34,1098,3,2764,25
2021-08-04T07:39:00,,,,,,,,1,2818,
2021-08-04T07:39:00,,,,,,,,2,2818,
2021-08-04T07:39:00,,,,110,138,34,1098,3,2818,25
2021-07-02T07:19:00,,,,,,,,1,2826,
2021-07-02T07:19:00,54,,,116,112,30,1156,2,2826,28
2021-07-02T07:19:00,,,,,,,,3,2826,
2021-07-03T08:14:00,,,,,,,,1,3043,
2021-07-03T08:14:00,54,,,116,112,30,1156,2,3043,28
2021-07-03T08:14:00,,,,,,,,3,3043,
2021-07-04T07:58:00,,,,,,,,1,2793,
2021-07-04T07:58:00,54,,,116,112,30,1156,2,2793,28
2021-07-04T07:58:00,,,,,,,,3,2793,
2021-07-05T08:26:00,,,,,,,,1,2939,
2021-07-05T08:26:00,52,,,112,108,28,1116,2,2939,27
2021-07-05T08:26:00,,,,,,,,3,2939,
2021-07-06T08:07:00,,,,,,,,1,2864,
2021-07-06T08:07:00,52,,,112,108,28,1116,2,2864,27
2021-07-06T08:07:00,,,,,,,,3,2864,
2021-07-07T08:21:00,,,,,,,,1,2879,
2021-07-07T08:21:00,52,,,112,108,28,1116,2,2879,27
2021-07-07T08:21:00,,,,,,,,3,2879,
2021-07-08T07:56:00,,,,,,,,1,2700,
2021-07-08T07:56:00,52,,,112,108,28,1116,2,2700,27
2021-07-08T07:56:00,,,,,,,,3,2700,
2021-07-10T07:37:00,,,,,,,,1,2763,
2021-07-10T07:37:00,52,,,112,108,28,1116,2,2763,27
2021-07-10T07:37:00,,,,,,,,3,2763,
2021-07-11T08:02:00,,,,,,,,1,2883,
2021-07-11T08:02:00,52,,,112,108,28,1116,2,2883,27
2021-07-11T08:02:00,,,,,,,,3,2883,
2021-07-09T08:18:00,,,,,,,,1,2695,
2021-07-09T08:18:00,52,,,112,108,28,1116,2,2695,27
2021-07-09T08:18:00,,,,,,,,3,2695,
2021-07-12T08:16:00,,,,,,,,1,3019.6,
2021-07-12T08:16:00,52,,,112,108,28,1116,2,3019.6,27
2021-07-12T08:16:00,,,,,,,,3,3019.6,
2021-07-13T07:56:00,,,,,,,,1,2809,
2021-07-13T07:56:00,52,,,112,108,28,1116,2,2809,27
2021-07-13T07:56:00,,,,,,,,3,2809,
2021-07-14T08:10:00,,,,,,,,1,2864,
2021-07-14T08:10:00,52,,,112,108,28,1116,2,2864,27
2021-07-14T08:10:00,,,,,,,,3,2864,
2021-07-15T08:24:00,,,,,,,,1,2892,
2021-07-15T08:24:00,52,,,112,108,28,1116,2,2892,27
2021-07-15T08:24:00,,,,,,,,3,2892,
2021-07-16T07:11:00,,,,,,,,1,2831,
2021-07-16T07:11:00,52,,,112,108,28,1116,2,2831,27
2021-07-16T07:11:00,,,,,,,,3,2831,
2021-07-17T07:46:00,,,,,,,,1,2969,
2021-07-17T07:46:00,52,,,112,108,28,1116,2,2969,27
2021-07-17T07:46:00,,,,,,,,3,2969,
2021-07-18T07:17:00,,,,,,,,1,2845,
2021-07-18T07:17:00,52,,,112,108,28,1116,2,2845,27
2021-07-18T07:17:00,,,,,,,,3,2845,
2021-07-19T08:10:00,,,,,,,,1,2851,
2021-07-19T08:10:00,52,,,112,108,28,1116,2,2851,27
2021-07-19T08:10:00,,,,,,,,3,2851,
2021-07-20T07:52:00,,,,,,,,1,2715,
2021-07-20T07:52:00,52,,,112,108,28,1116,2,2715,27
2021-07-20T07:52:00,,,,,,,,3,2715,
2021-07-21T08:31:00,,,,,,,,1,2840.1,
2021-07-21T08:31:00,52,,,112,108,28,1116,2,2840.1,27
2021-07-21T08:31:00,,,,,,,,3,2840.1,
2021-07-22T08:03:00,,,,,,,,1,2939,
2021-07-22T08:03:00,52,,,112,108,28,1116,2,2939,27
2021-07-22T08:03:00,,,,,,,,3,2939,
2021-07-23T07:33:00,,,,,,,,1,2788,
2021-07-23T07:33:00,50,,,108,104,26,1074,2,2788,26
2021-07-23T07:33:00,,,,,,,,3,2788,
2021-07-24T06:39:00,,,,,,,,1,3015,
2021-07-24T06:39:00,50,,,108,104,26,1074,2,3015,26
2021-07-24T06:39:00,,,,,,,,3,3015,
2021-07-25T08:12:00,,,,,,,,1,3065,
2021-07-25T08:12:00,50,,,108,104,26,1074,2,3065,26
2021-07-25T08:12:00,,,,,,,,3,3065,
2021-07-26T08:04:00,,,,,,,,1,2948,
2021-07-26T08:04:00,50,,,108,104,26,1074,2,2948,26
2021-07-26T08:04:00,,,,,,,,3,2948,
2021-07-27T08:06:00,,,,,,,,1,2880,
2021-07-27T08:06:00,50,,,108,104,26,1074,2,2880,26
2021-07-27T08:06:00,,,,,,,,3,2880,
2021-07-28T08:13:00,,,,,,,,1,2864,
2021-07-28T08:13:00,,,,86,114,30,1070,2,2864,26
2021-07-28T08:13:00,,,,,,,,3,2864,
2021-07-29T07:43:00,,,,,,,,1,2453,
2021-07-29T07:43:00,,,,76,102,26,946,2,2453,23
2021-07-29T07:43:00,,,,,,,,3,2453,
2021-07-30T07:30:00,,,,,,,,1,2597.9,
2021-07-30T07:30:00,,,,76,102,26,946,2,2597.9,23
2021-07-30T07:30:00,,,,,,,,3,2597.9,
2021-07-31T08:42:00,,,,,,,,1,2504,
2021-07-31T08:42:00,,,,76,102,26,946,2,2504,23
2021-07-31T08:42:00,,,,,,,,3,2504,
2021-08-01T07:18:00,,,,,,,,1,2496,
2021-08-01T07:18:00,,,,76,102,26,946,2,2496,23
2021-08-01T07:18:00,,,,,,,,3,2496,
2021-08-02T08:23:00,,,,,,,,1,2506,
2021-08-02T08:23:00,,,,76,102,26,946,2,2506,23
2021-08-02T08:23:00,,,,,,,,3,2506,
2021-08-03T08:26:00,,,,,,,,1,2764,
2021-08-03T08:26:00,,,,74,98,24,906,2,2764,22
2021-08-03T08:26:00,,,,,,,,3,2764,
2021-08-04T08:19:00,,,,,,,,1,2818,
2021-08-04T08:19:00,,,,74,98,24,906,2,2818,22
2021-08-04T08:19:00,,,,,,,,3,2818,
2021-07-03T06:45:00,104,,,212,192,54,1280,1,3043,31
2021-07-03T06:45:00,,,,,,,,2,3043,
2021-07-03T06:45:00,,,,,,,,3,3043,
2021-07-02T05:31:00,104,,,212,192,54,1280,1,2826,31
2021-07-02T05:31:00,,,,,,,,2,2826,
2021-07-02T05:31:00,,,,,,,,3,2826,
2021-07-04T06:35:00,104,,,212,192,54,1280,1,2793,31
2021-07-04T06:35:00,,,,,,,,2,2793,
2021-07-04T06:35:00,,,,,,,,3,2793,
2021-07-05T06:26:00,104,,,212,192,54,1280,1,2939,31
2021-07-05T06:26:00,,,,,,,,2,2939,
2021-07-05T06:26:00,,,,,,,,3,2939,
2021-07-06T06:19:00,104,,,212,192,54,1280,1,2864,31
2021-07-06T06:19:00,,,,,,,,2,2864,
2021-07-06T06:19:00,,,,,,,,3,2864,
2021-07-07T06:34:00,100,,,206,186,52,1238,1,2879,31
2021-07-07T06:34:00,,,,,,,,2,2879,
2021-07-07T06:34:00,,,,,,,,3,2879,
2021-07-08T06:20:00,100,,,206,186,52,1238,1,2700,31
2021-07-08T06:20:00,,,,,,,,2,2700,
2021-07-08T06:20:00,,,,,,,,3,2700,
2021-07-09T06:39:00,102,,,212,192,52,1278,1,2695,32
2021-07-09T06:39:00,,,,,,,,2,2695,
2021-07-09T06:39:00,,,,,,,,3,2695,
2021-07-10T05:46:00,102,,,212,192,52,1278,1,2763,32
2021-07-10T05:46:00,,,,,,,,2,2763,
2021-07-10T05:46:00,,,,,,,,3,2763,
2021-07-11T06:20:00,102,,,212,192,52,1278,1,2883,32
2021-07-11T06:20:00,,,,,,,,2,2883,
2021-07-11T06:20:00,,,,,,,,3,2883,
2021-07-12T06:32:00,102,,,212,192,52,1278,1,3019.6,32
2021-07-12T06:32:00,,,,,,,,2,3019.6,
2021-07-12T06:32:00,,,,,,,,3,3019.6,
2021-07-13T06:24:00,102,,,212,192,52,1278,1,2809,32
2021-07-13T06:24:00,,,,,,,,2,2809,
2021-07-13T06:24:00,,,,,,,,3,2809,
2021-07-14T06:29:00,100,,,204,184,52,1232,1,2864,32
2021-07-14T06:29:00,,,,,,,,2,2864,
2021-07-14T06:29:00,,,,,,,,3,2864,
2021-07-15T06:38:00,100,,,204,184,52,1232,1,2892,32
2021-07-15T06:38:00,,,,,,,,2,2892,
2021-07-15T06:38:00,,,,,,,,3,2892,
2021-07-16T05:51:00,100,,,204,184,52,1232,1,2831,32
2021-07-16T05:51:00,,,,,,,,2,2831,
2021-07-16T05:51:00,,,,,,,,3,2831,
2021-07-17T06:31:00,100,,,204,184,52,1232,1,2969,32
2021-07-17T06:31:00,,,,,,,,2,2969,
2021-07-17T06:31:00,,,,,,,,3,2969,
2021-07-18T05:54:00,100,,,204,184,52,1232,1,2845,32
2021-07-18T05:54:00,,,,,,,,2,2845,
2021-07-18T05:54:00,,,,,,,,3,2845,
2021-07-19T06:38:00,102,,,210,190,52,1270,1,2851,33
2021-07-19T06:38:00,,,,,,,,2,2851,
2021-07-19T06:38:00,,,,,,,,3,2851,
2021-07-20T06:36:00,102,,,210,190,52,1270,1,2715,33
2021-07-20T06:36:00,,,,,,,,2,2715,
2021-07-20T06:36:00,,,,,,,,3,2715,
2021-07-21T06:58:00,102,,,210,190,52,1270,1,2840.1,33
2021-07-21T06:58:00,,,,,,,,2,2840.1,
2021-07-21T06:58:00,,,,,,,,3,2840.1,
2021-07-22T06:57:00,102,,,210,190,52,1270,1,2939,33
2021-07-22T06:57:00,,,,,,,,2,2939,
2021-07-22T06:57:00,,,,,,,,3,2939,
2021-07-23T06:20:00,102,,,210,190,52,1270,1,2788,33
2021-07-23T06:20:00,,,,,,,,2,2788,
2021-07-23T06:20:00,,,,,,,,3,2788,
2021-07-24T05:23:00,102,,,210,190,52,1270,1,3015,33
2021-07-24T05:23:00,,,,,,,,2,3015,
2021-07-24T05:23:00,,,,,,,,3,3015,
2021-07-25T06:48:00,102,,,210,190,52,1270,1,3065,33
2021-07-25T06:48:00,,,,,,,,2,3065,
2021-07-25T06:48:00,,,,,,,,3,3065,
2021-07-26T06:45:00,102,,,210,190,52,1270,1,2948,33
2021-07-26T06:45:00,,,,,,,,2,2948,
2021-07-26T06:45:00,,,,,,,,3,2948,
2021-07-27T06:50:00,100,,,204,184,52,1232,1,2880,32
2021-07-27T06:50:00,,,,,,,,2,2880,
2021-07-27T06:50:00,,,,,,,,3,2880,
2021-07-28T06:51:00,,,,188,224,56,1492,1,2864,34
2021-07-28T06:51:00,,,,,,,,2,2864,
2021-07-28T06:51:00,,,,,,,,3,2864,
2021-07-28T06:49:00,,,,,224,,,1,2864,34
2021-07-28T06:49:00,,,,,,,,2,2864,
2021-07-28T06:49:00,,,,,,,,3,2864,
2021-07-29T06:07:00,,,,188,224,56,1492,1,2453,34
2021-07-29T06:07:00,,,,,,,,2,2453,
2021-07-29T06:07:00,,,,,,,,3,2453,
2021-07-30T05:43:00,,,,188,224,56,1492,1,2597.9,34
2021-07-30T05:43:00,,,,,,,,2,2597.9,
2021-07-30T05:43:00,,,,,,,,3,2597.9,
2021-07-30T05:36:00,,,,,224,,,1,2597.9,34
2021-07-30T05:36:00,,,,,,,,2,2597.9,
2021-07-30T05:36:00,,,,,,,,3,2597.9,
2021-07-31T06:48:00,,,,188,224,56,1492,1,2504,34
2021-07-31T06:48:00,,,,,,,,2,2504,
2021-07-31T06:48:00,,,,,,,,3,2504,
2021-08-01T05:36:00,,,,192,232,58,1536,1,2496,35
2021-08-01T05:36:00,,,,,,,,2,2496,
2021-08-01T05:36:00,,,,,,,,3,2496,
2021-08-02T06:45:00,,,,192,232,58,1536,1,2506,35
2021-08-02T06:45:00,,,,,,,,2,2506,
2021-08-02T06:45:00,,,,,,,,3,2506,
2021-08-03T06:13:00,,,,258,310,78,2062,1,2764,47
2021-08-03T06:13:00,,,,,,,,2,2764,
2021-08-03T06:13:00,,,,,,,,3,2764,
2021-08-04T06:26:00,,,,258,310,78,2062,1,2818,47
2021-08-04T06:26:00,,,,,,,,2,2818,
2021-08-04T06:26:00,,,,,,,,3,2818,
2021-08-05T06:22:00,,,,210,252,64,1668,1,2718,38
2021-08-05T06:22:00,,,,,,,,2,2718,
2021-08-05T06:22:00,,,,,,,,3,2718,
2021-08-05T07:41:00,,,,,,,,1,2718,
2021-08-05T07:41:00,,,,,,,,2,2718,
2021-08-05T07:41:00,,,,110,138,34,1098,3,2718,25
2021-08-05T08:25:00,,,,,,,,1,2718,
2021-08-05T08:25:00,,,,74,98,24,906,2,2718,22
2021-08-05T08:25:00,,,,,,,,3,2718,
2021-08-06T05:34:00,,,,210,252,64,1668,1,2792,38
2021-08-06T05:34:00,,,,,,,,2,2792,
2021-08-06T05:34:00,,,,,,,,3,2792,
2021-08-06T06:50:00,,,,,,,,1,2792,
2021-08-06T06:50:00,,,,,,,,2,2792,
2021-08-06T06:50:00,,,,110,138,34,1098,3,2792,25
2021-08-06T07:36:00,,,,,,,,1,2792,
2021-08-06T07:36:00,,,,74,98,24,906,2,2792,22
2021-08-06T07:36:00,,,,,,,,3,2792,
2021-08-07T05:50:00,,,,214,258,64,1712,1,2787,39
2021-08-07T05:50:00,,,,,,,,2,2787,
2021-08-07T05:50:00,,,,,,,,3,2787,
2021-08-07T07:11:00,,,,,,,,1,2787,
2021-08-07T07:11:00,,,,,,,,2,2787,
2021-08-07T07:11:00,,,,110,138,34,1098,3,2787,25
2021-08-07T07:52:00,,,,,,,,1,2787,
2021-08-07T07:52:00,,,,74,98,24,906,2,2787,22
2021-08-07T07:52:00,,,,,,,,3,2787,
2021-08-08T06:28:00,,,,214,258,64,1712,1,2798,39
2021-08-08T06:28:00,,,,,,,,2,2798,
2021-08-08T06:28:00,,,,,,,,3,2798,
2021-08-08T07:50:00,,,,,,,,1,2798,
2021-08-08T07:50:00,,,,,,,,2,2798,
2021-08-08T07:50:00,,,,110,138,34,1098,3,2798,25
2021-08-08T08:43:00,,,,,,,,1,2798,
2021-08-08T08:43:00,,,,74,98,24,906,2,2798,22
2021-08-08T08:43:00,,,,,,,,3,2798,
2021-08-09T06:29:00,,,,214,258,64,1712,1,2795,39
2021-08-09T06:29:00,,,,,,,,2,2795,
2021-08-09T06:29:00,,,,,,,,3,2795,
2021-08-09T07:29:00,,,,,,,,1,2795,
2021-08-09T07:29:00,,,,,,,,2,2795,
2021-08-09T07:29:00,,,,110,138,34,1098,3,2795,25
2021-08-09T08:24:00,,,,,,,,1,2795,
2021-08-09T08:24:00,,,,74,98,24,906,2,2795,22
2021-08-09T08:24:00,,,,,,,,3,2795,
2021-08-10T06:10:00,,,,214,258,64,1712,1,2478.7,39
2021-08-10T06:10:00,,,,,,,,2,2478.7,
2021-08-10T06:10:00,,,,,,,,3,2478.7,
2021-08-10T07:04:00,,,,,,,,1,2478.7,
2021-08-10T07:04:00,,,,,,,,2,2478.7,
2021-08-10T07:04:00,,,,110,138,34,1098,3,2478.7,25
2021-08-10T07:48:00,,,,,,,,1,2478.7,
2021-08-10T07:48:00,,,,74,98,24,906,2,2478.7,22
2021-08-10T07:48:00,,,,,,,,3,2478.7,
2021-08-11T06:12:00,,,,214,258,64,1712,1,2809,39
2021-08-11T06:12:00,,,,,,,,2,2809,
2021-08-11T06:12:00,,,,,,,,3,2809,
2021-08-11T07:18:00,,,,,,,,1,2809,
2021-08-11T07:18:00,,,,,,,,2,2809,
2021-08-11T07:18:00,,,,110,138,34,1098,3,2809,25
2021-08-11T07:56:00,,,,,,,,1,2809,
2021-08-11T07:56:00,,,,74,98,24,906,2,2809,22
2021-08-11T07:56:00,,,,,,,,3,2809,
2021-08-12T06:02:00,,,,214,258,64,1712,1,2825,39
2021-08-12T06:02:00,,,,,,,,2,2825,
2021-08-12T06:02:00,,,,,,,,3,2825,
2021-08-12T06:55:00,,,,,,,,1,2825,
2021-08-12T06:55:00,,,,,,,,2,2825,
2021-08-12T06:55:00,,,,110,138,34,1098,3,2825,25
2021-08-12T07:26:00,,,,,,,,1,2825,
2021-08-12T07:26:00,,,,74,98,24,906,2,2825,22
2021-08-12T07:26:00,,,,,,,,3,2825,
2021-08-13T05:17:00,,,,220,264,66,1756,1,2811,40
2021-08-13T05:17:00,,,,,,,,2,2811,
2021-08-13T05:17:00,,,,,,,,3,2811,
2021-08-13T06:31:00,,,,,,,,1,2811,
2021-08-13T06:31:00,,,,,,,,2,2811,
2021-08-13T06:31:00,,,,110,138,34,1098,3,2811,25
2021-08-13T07:32:00,,,,,,,,1,2811,
2021-08-13T07:32:00,,,,74,98,24,906,2,2811,22
2021-08-13T07:32:00,,,,,,,,3,2811,
2021-08-14T06:41:00,,,,232,278,70,1844,1,2903,42
2021-08-14T06:41:00,,,,,,,,2,2903,
2021-08-14T06:41:00,,,,,,,,3,2903,
2021-08-14T07:57:00,,,,,,,,1,2903,
2021-08-14T07:57:00,,,,,,,,2,2903,
2021-08-14T07:57:00,,,,110,138,34,1098,3,2903,25
2021-08-14T08:55:00,,,,,,,,1,2903,
2021-08-14T08:55:00,,,,74,98,24,906,2,2903,22
2021-08-14T08:55:00,,,,,,,,3,2903,
2021-08-15T05:17:00,,,,232,278,70,1844,1,2871,42
2021-08-15T05:17:00,,,,,,,,2,2871,
2021-08-15T05:17:00,,,,,,,,3,2871,
2021-08-15T06:26:00,,,,,,,,1,2871,
2021-08-15T06:26:00,,,,,,,,2,2871,
2021-08-15T06:26:00,,,,110,138,34,1098,3,2871,25
2021-08-15T06:59:00,,,,,,,,1,2871,
2021-08-15T06:59:00,,,,74,98,24,906,2,2871,22
2021-08-15T06:59:00,,,,,,,,3,2871,
2021-08-16T07:24:00,,,,,,,,1,2876,
2021-08-16T07:24:00,,,,,,,,2,2876,
2021-08-16T07:24:00,,,,110,138,34,1098,3,2876,25
