Brinco;Peso;Prod. Leite;date
1428;650;34.95;2
2414;653;21.27;2
2592;493;25.3;2
3122;639;40.55;2
3142;639;23.5;2
3148;605;46.33;2
3451;636;21.5;2
3482;740;25.2;2
3579;677;31.67;2
3650;654;23.1;2
3785;585;50.93;2
3789;671;41.9;2
4019;667;40.23;2
4073;585;30.3;2
4076;727;44.43;2
4100;624;28.83;2
4111;662;15.83;2
4117;707;38.97;2
4118;639;24.17;2
4123;688;21.05;2
4136;748;34.53;2
4158;674;32.87;2
4490;692;26;2
5078;723;46.45;2
5108;692;43.67;2
5109;665;37;2
5116;672;24.1;2
5121;660;27.15;2
5131;747;19;2
5140;690;45.13;2
5141;670;36.3;2
5171;649;21.8;2
5175;673;28.13;2
5176;663;30.6;2
5486;713;20.55;2
5595;663;23.37;2
6006;761;31;2
6008;695;25.77;2
6014;635;23.7;2
6114;611;31.37;2
6115;824;20.27;2
6120;767;28.27;2
6125;680;31.1;2
6129;684;25;2
6131;647;35.97;2
6139;599;38.1;2
6145;587;32.63;2
6148;615;38.9;2
6156;716;36.27;2
6162;646;46.63;2
6163;684;37.87;2
6164;682;12.1;2
6167;554;18.6;2
6202;616;39.4;2
6401;633;35.57;2
6473;641;25.43;2
6483;691;38.47;2
6582;721;37.93;2
7100;628;32.53;2
7107;718;34.83;2
7108;675;28.03;2
7114;674;33;2
7115;676;26.47;2
7117;736;21.73;2
7123;650;40.37;2
7124;671;32.63;2
7154;574;41.37;2
7165;680;22.1;2
7167;640;21.65;2
7173;662;35.3;2
7175;594;36.2;2
7187;546;31.47;2
7189;744;23.83;2
7203;566;31.27;2
8109;574;27.4;2
8112;549;31.3;2
8113;501;21.85;2
8118;605;27.33;2
8124;516;24.4;2
8128;538;29.43;2
8130;538;29.57;2
8131;525;28.03;2
8140;593;30.27;2
8142;591;32.13;2
8147;537;32.67;2
8155;546;17.07;2
1069;768;40.93;3
1428;650;43.4;3
2592;493;34.13;3
3030;606;38.97;3
3038;671;35.67;3
3122;639;50.27;3
3142;639;20.57;3
3148;605;44.13;3
3451;636;17.9;3
3482;740;23.75;3
3579;677;33.13;3
3650;654;20.37;3
3785;585;47.48;3
3789;671;43.67;3
4019;667;36.2;3
4073;585;28.45;3
4076;727;46.15;3
4100;624;25.6;3
4111;662;21.9;3
4117;707;40.28;3
4118;639;21.15;3
4123;688;28.48;3
4136;748;38.77;3
4157;827;38.87;3
4158;674;29;3
4490;692;24.3;3
5078;723;47.32;3
5108;692;41.7;3
5109;665;31.33;3
5116;672;18.97;3
5131;747;9.6;3
5140;690;43.48;3
5141;670;44.45;3
5145;798;46.23;3
5171;649;34.67;3
5175;673;43.1;3
5176;663;30.15;3
5511;642;34.87;3
5595;663;21;3
6006;761;27.85;3
6008;695;22.58;3
6014;635;42.68;3
6060;614;36.02;3
6079;627;32.73;3
6114;611;33.73;3
6115;824;18.4;3
6120;767;25.83;3
6125;680;22.95;3
6129;684;23.7;3
6131;647;35.6;3
6139;599;39.92;3
6142;566;17.05;3
6145;587;27.82;3
6148;615;35.03;3
6156;716;30.02;3
6161;706;42.5;3
6162;646;44.13;3
6163;684;39.15;3
6164;682;28.93;3
6167;554;19;3
6202;616;44.53;3
6401;633;35.8;3
6473;641;17;3
6483;691;38.8;3
6582;721;29.7;3
7100;628;27.72;3
7107;718;35.75;3
7110;646;30.8;3
7113;581;29;3
7114;674;31.33;3
7115;676;17.4;3
7117;736;20.7;3
7123;650;32.63;3
7124;671;29.23;3
7128;583;32.8;3
7152;620;39.5;3
7154;574;44.28;3
7163;604;38.63;3
7165;680;19.6;3
7167;640;10;3
7173;662;42.6;3
7175;594;39.73;3
7179;689;33.73;3
7187;546;35.7;3
7189;744;21.83;3
7203;566;33.7;3
8109;574;25.6;3
8110;465;24.8;3
8112;549;29;3
8113;501;29.85;3
8114;684;41.93;3
8118;605;29.05;3
8128;538;30.23;3
8129;518;25.8;3
8130;538;27.27;3
8131;525;26.8;3
8140;593;27.93;3
8142;591;28.88;3
8147;537;35.55;3
8150;586;32.63;3
8155;546;23.13;3
9110;549;25.2;3
9128;552;26.47;3
1069;759;39.7;4
1428;655;47.6;4
2195;659;43.3;4
2592;524;37.2;4
3030;645;43.43;4
3038;674;41;4
3122;652;53.3;4
3142;653;23.83;4
3148;633;44.2;4
3653;722;41.25;4
3785;557;37.77;4
3789;700;45.57;4
4076;711;43.43;4
4100;607;36.6;4
4111;704;24.5;4
4117;735;41.23;4
4118;615;24.15;4
4123;715;29.2;4
4136;756;43.53;4
4157;753;45.2;4
4158;632;32.2;4
5078;747;42.4;4
5108;721;45.07;4
5116;670;14.35;4
5121;604;44.43;4
5131;653;47.8;4
5140;709;48.4;4
5141;661;43.47;4
5145;629;56.17;4
5171;709;36.77;4
5175;729;48.1;4
5176;717;30.4;4
5183;718;48.53;4
5511;551;44.03;4
6014;639;52.57;4
6060;630;40.93;4
6079;661;37.9;4
6112;675;44.97;4
6114;652;36.77;4
6120;821;27.43;4
6125;695;31.17;4
6129;609;18.55;4
6131;675;39.4;4
6139;660;44.23;4
6142;616;20.5;4
6145;631;33.17;4
6148;609;40.2;4
6156;722;32.8;4
6159;475;17.05;4
6161;630;53.73;4
6162;707;42.3;4
6163;694;42.87;4
6164;695;34.07;4
6166;748;39.43;4
6202;623;44.03;4
6401;702;41.27;4
6483;733;38;4
7100;697;27.23;4
7107;760;36.6;4
7108;670;19.7;4
7110;638;42.67;4
7113;575;35.13;4
7114;692;30.3;4
7123;647;32.8;4
7124;718;28.13;4
7128;631;37.6;4
7145;563;22.97;4
7152;589;45.87;4
7154;612;45.47;4
7163;632;49.57;4
7164;586;31.37;4
7167;634;27.4;4
7173;713;47.07;4
7175;676;44.8;4
7179;612;40.53;4
7181;588;34.8;4
7187;615;41.73;4
7189;767;23.4;4
7203;598;37.83;4
7204;608;25.63;4
7206;608;36.1;4
8109;607;27.17;4
8110;489;22.3;4
8112;560;31.3;4
8113;554;36;4
8114;618;49.9;4
8116;522;25.93;4
8118;643;30.73;4
8124;538;27.33;4
8128;557;32.43;4
8129;474;30.37;4
8130;528;28.45;4
8131;562;29.33;4
8142;649;31.8;4
8147;600;41.03;4
8150;570;42.27;4
8200;507;12.3;4
9101;535;31.7;4
9110;501;28.1;4
9125;492;24.3;4
9128;535;36.33;4
9135;549;34.23;4
9137;555;10.2;4
9159;556;28.9;4
1069;771;39.4;5
1428;649;49.33;5
2195;643;45.7;5
2592;544;31.8;5
3030;635;39.87;5
3038;669;36.07;5
3122;661;55.7;5
3148;604;37.13;5
3653;701;48.53;5
3785;616;37.3;5
3789;682;43.37;5
4076;707;47.7;5
4100;617;37.53;5
4111;732;29.83;5
4117;724;39.07;5
4123;725;29.1;5
4136;742;43.6;5
4157;761;44.3;5
4158;641;31.27;5
5078;754;41.57;5
5108;708;44.6;5
5109;666;40.5;5
5121;615;54.2;5
5131;662;48.87;5
5140;698;47;5
5141;694;45.43;5
5145;640;55.9;5
5171;715;35.57;5
5175;743;52.27;5
5176;735;27.93;5
5183;705;59.73;5
6014;664;50.8;5
6060;630;38.63;5
6112;671;46.63;5
6114;667;33.73;5
6125;678;29.77;5
6131;694;36.57;5
6139;655;39.1;5
6142;641;19.9;5
6145;647;30.4;5
6148;609;36.17;5
6156;760;31.5;5
6161;643;49.67;5
6162;702;41.4;5
6163;710;32.13;5
6164;719;35.47;5
6166;767;44.63;5
6202;634;41.17;5
6401;736;43.33;5
6582;718;35.9;5
7107;784;33.3;5
7108;696;32.23;5
7110;653;42.03;5
7112;715;28.1;5
7113;609;37.13;5
7114;697;31.93;5
7123;680;32.43;5
7124;738;23.8;5
7128;653;35.17;5
7145;606;24.63;5
7152;608;45.23;5
7154;632;40.47;5
7163;671;49.03;5
7164;600;33.9;5
7165;663;9.6;5
7167;663;29.67;5
7173;725;49.1;5
7175;678;45.6;5
7179;633;39.47;5
7181;619;35.23;5
7187;634;44.6;5
7189;776;23.57;5
7203;601;34.6;5
7204;628;34.47;5
7206;630;39.37;5
8110;535;22.33;5
8112;579;31.23;5
8113;579;38.03;5
8114;609;48.83;5
8116;551;25.33;5
8118;653;30.2;5
8124;537;36.07;5
8128;593;30.17;5
8129;509;29.8;5
8131;588;26.87;5
8140;610;23.4;5
8142;675;27.83;5
8147;543;31.83;5
8148;597;24.8;5
8150;591;44.9;5
8200;507;31;5
8201;592;30.4;5
9101;541;37.27;5
9110;534;26.97;5
9125;512;25.87;5
9128;559;35.87;5
9135;549;34.1;5
9137;543;35.63;5
9150;480;26.3;5
9201;533;23.6;5
2414;647;23.8;1
3142;625;22.05;1
3148;617;41.2;1
3451;613;24.45;1
3482;736;23.6;1
3579;675;29.95;1
3650;638;24.25;1
3785;602;45;1
4019;645;38.55;1
4073;540;28.8;1
4076;696;39.15;1
4100;623;29.9;1
4111;639;2.5;1
4117;728;37.05;1
4118;666;25.1;1
4136;695;26.15;1
4158;667;30.85;1
4469;611;32.8;1
4490;690;27.65;1
4522;719;13;1
5078;697;35.75;1
5108;695;41.9;1
5109;665;38.6;1
5116;656;26.5;1
5121;711;30.6;1
5131;732;29.1;1
5140;685;40.6;1
5176;642;32.4;1
5182;524;13.55;1
5486;749;20.25;1
5495;644;36.2;1
5595;632;23.15;1
6006;742;28;1
6008;683;23.6;1
6112;720;22.3;1
6114;611;32.2;1
6115;808;23.9;1
6120;750;24.8;1
6125;651;30.8;1
6129;690;26.3;1
6131;656;39.3;1
6139;604;1.5;1
6142;589;21.8;1
6145;607;27.65;1
6148;624;36.7;1
6156;689;36.45;1
6161;729;16.8;1
6162;671;44.05;1
6163;685;41.3;1
6166;784;26.2;1
6167;545;19.8;1
6202;624;34.15;1
6401;656;23.9;1
6473;620;27.3;1
6483;680;34.65;1
6582;706;39.1;1
7100;642;30.3;1
7107;733;34.3;1
7108;691;30.65;1
7110;649;22.8;1
7114;656;29.2;1
7115;644;25.75;1
7117;721;23.4;1
7123;678;42.95;1
7124;649;32.1;1
7145;627;24.3;1
7154;579;40.8;1
7164;667;14.55;1
7165;722;18.8;1
7167;690;24.15;1
7175;548;15.8;1
7189;737;20.25;1
7203;569;35.4;1
8109;573;26.2;1
8110;523;19.85;1
8112;537;30.25;1
8116;607;26.55;1
8118;580;22.05;1
8124;554;22.25;1
8128;547;30.85;1
8130;558;32.25;1
8131;511;25.3;1
8140;610;30.3;1
8142;598;28.3;1
8147;545;28.6;1